Time (s),Linear Acceleration x1 (m/s^2),Linear Acceleration x2 (m/s^2),Linear Acceleration x3 (m/s^2)
4.88,-0.238236666,-0.072665691,0.021891832
4.885,-0.228466749,-0.021216452,0.034196615
4.89,-0.166953236,-0.048355699,-0.040878654
4.895,-0.118124634,-0.03237325,-0.079145789
4.9,0.025243849,-0.044805467,-0.159364581
4.905,0.07746321,-0.016512275,-0.205511093
4.91,0.117845803,-0.061896384,-0.217961669
4.915,0.179883599,-0.109145463,-0.185149074
4.92,0.206493527,-0.151403785,-0.18583405
4.925,0.238431275,-0.203193367,-0.110407233
4.93,0.249433219,-0.162399411,-0.104408741
4.935,0.303824127,-0.179210246,-0.062811255
4.94,0.325395644,-0.207932949,-0.135450721
4.945,0.293001026,-0.212778807,-0.238605976
4.95,0.207138151,-0.217869461,-0.184635639
4.955,0.122626066,-0.194712877,-0.247792959
4.96,0.058265865,-0.124450266,-0.253771186
4.965,-0.062339514,-0.099964678,-0.250276685
4.97,-0.215234935,-0.056644857,-0.234982014
4.975,-0.267534047,-0.058749676,-0.160378218
4.98,-0.274630159,-0.06548965,-0.162207961
4.985,-0.301154405,-0.04836005,-0.12573278
4.99,-0.334997237,-0.081054747,-0.139036536
4.995,-0.33103925,-0.096834123,-0.144739151
