Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
2.38,4.409690857,3.400500774,4.399452686
2.385,4.80294323,2.57313776,5.445603371
2.39,5.198311806,1.645406246,6.896533012
2.395,5.468203068,0.760484457,8.464208603
2.4,5.582780838,-0.07195878,9.774765015
2.405,5.418027878,-0.703261852,10.71235275
2.41,5.016782284,-1.063023806,11.35624504
2.415,4.760896206,-1.314378262,11.56935883
2.42,4.383906841,-1.397044182,11.397789
2.425,4.099908352,-1.47293663,10.9370594
2.43,3.737873077,-1.658036709,10.16420746
2.435,3.349234104,-1.824381113,9.287846565
2.44,2.872353554,-2.014276505,8.26266861
2.445,2.355817795,-2.181442022,7.196176052
2.45,1.816370964,-2.296502113,6.212364674
2.455,1.294844627,-2.645059586,5.265594006
2.46,0.851052284,-3.010933638,4.370367527
2.465,0.854307175,-3.432726383,3.522685528
2.47,0.74659586,-3.579950809,2.64190197
2.475,0.704666615,-3.515603542,1.776693344
2.48,0.694811106,-3.230727673,1.16216135
2.485,0.628441572,-2.838053226,0.626926184
2.49,0.563067913,-2.434452057,0.167391777
2.495,0.594507456,-2.210793257,-0.272603273
2.5,0.527034044,-2.245809555,-0.598114491
2.505,0.335241318,-2.506468058,-0.88410604
2.51,-0.049478054,-2.993165493,-1.049645662
2.515,-0.643274426,-3.714614868,-1.260083437
2.52,-1.254724979,-4.367722511,-1.4078089
2.525,-1.83692956,-4.690561295,-1.530941963
2.53,-2.237806082,-4.759827137,-1.705360889
2.535,-2.431568861,-5.676730156,-1.741808653
2.54,-2.165632963,-4.145904541,-1.773633957
2.545,-1.50814414,-4.383730888,-1.678083777
2.55,-0.914626122,-4.302191734,-1.609419107
2.555,0.032655239,-4.938566685,-1.618762136
2.56,0.834354043,-4.87504673,-1.804987669
2.565,1.535614729,-3.980618477,-2.097528458
2.57,2.001792908,-2.349496365,-2.626971245
2.575,1.827035189,-0.746252656,-3.228042126
2.58,1.36345911,-0.484860063,-3.998470068
