Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
4.845,-0.18119812,-0.093743324,-0.080387115
4.85,-0.16836834,-0.125146866,-0.022583485
4.855,-0.162764549,-0.058980942,-0.012679577
4.86,-0.145307541,-0.071806908,-0.02179718
4.865,-0.127939224,-0.075146675,-0.085323811
4.87,-0.086968422,-0.092855453,-0.036726475
4.875,-0.105607033,-0.046425819,-0.052712917
4.88,-0.076497078,-0.116865158,-0.071137428
4.885,-0.073555946,-0.053894043,-0.058735847
4.89,0.00319767,-0.046244621,-0.044177532
4.895,0.001196861,-0.05077076,-0.010724068
4.9,0.016088486,-0.100581169,-0.034459591
4.905,0.007385254,-0.036275864,0.001430988
4.91,-0.027130127,-0.03681469,0.020481586
4.915,-0.035041809,-0.01616478,0.001348972
4.92,-0.03322506,-0.064637184,0.003669739
4.925,-0.036061287,-0.020180702,-0.003581047
4.93,-0.048337936,0.007292747,-0.032188892
4.935,-0.062923431,-0.015315056,0.022529125
4.94,-0.003874779,0.038332939,0.010297775
4.945,-0.07611084,0.070264816,0.024330616
4.95,-0.062486649,0.071195602,0.052555561
4.955,-0.115807533,0.124497414,0.118632793
4.96,-0.071689606,0.065917015,0.039362907
4.965,-0.10664463,0.105319023,0.086601257
4.97,-0.077550888,0.116042137,0.064599991
4.975,-0.060828209,0.103079796,0.045062542
4.98,-0.042087555,0.125985146,0.058916569
4.985,-0.009402275,0.115560532,0.065403938
4.99,0.101294518,0.083922386,0.048008442
4.995,0.051956177,0.035972595,0.0377388
