Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
2.58,-16.02850342,-44.57222748,-12.62417126
2.585,-15.24349213,-51.46079254,-13.75283813
2.59,-15.11305332,-58.23392487,-14.94645119
2.595,-15.59207344,-62.48425674,-16.1746006
2.6,-16.28611755,-60.98125458,-17.46489334
2.605,-17.45992851,-47.51245117,-18.45853424
2.61,-18.85755539,-41.25489044,-19.35984993
2.615,-21.63364792,-27.16049767,-19.46105766
2.62,-23.12737465,-19.1730423,-20.32521057
2.625,-26.67455864,-16.33537674,-20.43846893
2.63,-31.80262756,-18.80615997,-20.6060257
2.635,-38.63061523,-24.83721542,-19.76324844
2.64,-46.57649231,-29.24484634,-18.80672836
2.645,-55.10079956,-29.391716,-18.37502861
2.65,-63.20842361,-25.3302269,-18.63737106
2.655,-68.79862976,-19.86072922,-19.22968864
2.66,-66.19960022,-15.36128807,-19.74998474
2.665,-54.19641876,-11.99841499,-20.62840271
2.67,-45.75873947,-8.675843239,-21.6756897
2.675,-30.03509521,-5.613138199,-23.92876816
2.68,-12.78011513,-3.328167915,-27.88540649
2.685,-3.52191782,-1.711781979,-33.7375412
2.69,-4.62515974,-0.445878029,-40.57885742
2.695,-14.25829601,0.626669884,-46.91253662
2.7,-22.59843636,1.223576069,-53.42518997
2.705,-23.71143341,1.286373138,-60.61265945
2.71,-20.3927803,0.960167408,-67.18845367
2.715,-16.1630497,0.208781719,-70.38188934
2.72,-12.48545074,-0.678197384,-66.47102356
2.725,-9.29202652,-1.623286247,-50.7171402
2.73,-6.376790047,-2.462258339,-39.06296921
2.735,-3.226343632,-3.145104885,-25.2626915
2.74,-0.937101841,-3.788518906,-16.44798279
2.745,0.448858261,-4.316923618,-12.29013443
2.75,1.261893272,-4.886180878,-17.70173264
2.755,1.874732494,-5.213892937,-26.76164627
2.76,2.457158566,-5.364040852,-31.09797478
2.765,2.844379902,-5.492822647,-29.3739109
2.77,2.950648785,-5.571656227,-24.0626564
2.775,2.655222416,-5.524013519,-18.03087997
2.78,1.970160484,-5.383725643,-12.84763527
2.785,1.077649593,-5.371161461,-9.455879211
2.79,0.333683968,-5.30286932,-6.200526714
2.795,-0.46547699,-5.289891243,-2.935419798
2.8,-1.216804028,-5.328810215,-0.566221714
2.805,-1.934513092,-5.349457741,0.431441307
2.81,-2.458304882,-5.310580254,1.232851982
2.815,-2.859640598,-5.695104122,1.746712685
2.82,-3.097088337,-5.845460415,2.279651642
2.825,-3.190750599,-5.93442297,2.273118496
2.83,-3.286647797,-5.998016357,1.719319344
2.835,-3.326890945,-6.01499176,0.766481876
2.84,-3.439702511,-6.071584702,-0.264016628
2.845,-3.300826073,-6.10141468,-1.126704693
2.85,-3.401842117,-6.148622513,-1.797615051
2.855,-3.482459068,-6.26205492,-2.381135941
2.86,-3.574282169,-6.358902931,-2.952105999
2.865,-3.706692696,-6.46605587,-3.494026661
2.87,-3.820932865,-6.488425732,-3.837362289
2.875,-3.994643688,-6.60824585,-4.130196571
2.88,-4.207602501,-6.66332531,-4.433939457
2.885,-4.501856327,-6.728355885,-4.687511444
2.89,-4.735625744,-6.832477093,-4.784128666
2.895,-4.963576317,-6.84687376,-4.757925034
2.9,-5.19255352,-6.903450012,-4.779069901
2.905,-5.486987591,-7.023914337,-4.828754425
2.91,-5.739181519,-7.127070427,-4.845219612
2.915,-6.095243931,-7.172455311,-4.905753613
2.92,-6.371364594,-7.303631783,-5.035186768
2.925,-6.692578316,-7.386704922,-5.277840137
2.93,-7.033247948,-7.53674078,-5.518026352
2.935,-7.341515541,-7.636714935,-5.750517368
2.94,-7.684896469,-7.858949661,-5.905748844
2.945,-7.879778862,-8.062496185,-6.098536968
2.95,-8.043875694,-8.293182373,-6.262173653
2.955,-8.18947506,-8.558710098,-6.495107651
2.96,-8.247673988,-8.7973423,-6.716384411
2.965,-8.359808922,-9.059913635,-6.63469553
2.97,-8.392032623,-9.261194229,-7.073313236
2.975,-8.471094131,-9.498149872,-7.382339001
2.98,-8.587274551,-9.60299778,-7.715773582
2.985,-8.764331818,-9.717261314,-7.897426605
2.99,-8.880411148,-9.738879204,-7.956898212
2.995,-9.098306656,-9.633318901,-7.952573299
3,-9.329524994,-9.318966866,-8.009530067
3.005,-9.60047245,-9.111385345,-8.113796234
3.01,-9.91349411,-8.988313675,-8.17493248
3.015,-10.266222,-9.280817032,-8.207669258
3.02,-10.68721199,-9.875954628,-8.274648666
3.025,-11.19296646,-10.70423889,-8.436003685
3.03,-11.89586639,-11.48823929,-8.603631973
3.035,-12.41397858,-12.31682777,-8.739648819
3.04,-12.90249062,-13.39924049,-8.913644791
3.045,-13.37135506,-14.62533092,-9.161307335
3.05,-13.638484,-16.32529449,-9.465536118
3.055,-13.77035141,-18.4418602,-9.885720253
3.06,-13.92076397,-20.91800308,-10.27802658
3.065,-14.03381729,-23.63933754,-10.5512867
3.07,-14.20490646,-26.68549728,-11.1169405
3.075,-14.18580151,-30.49342346,-11.52925396
3.08,-14.74694824,-35.1451683,-12.0158062
3.085,-15.59382343,-40.61337662,-12.65399742
3.09,-17.30262184,-45.53436279,-13.18095589
3.095,-17.91480637,-48.1289978,-13.82104492
3.1,-19.49646187,-48.24898529,-14.57229996
3.105,-22.83172607,-42.73022842,-15.27932167
3.11,-27.57530022,-37.05106735,-16.10634995
3.115,-33.03591919,-27.98943901,-16.93050766
3.12,-38.49687958,-20.8452549,-18.09581375
3.125,-43.91181183,-16.84622765,-19.69126129
3.13,-49.95783234,-14.61992455,-21.59086227
3.135,-57.13523102,-15.91169453,-23.48563004
3.14,-63.48133087,-19.54182243,-26.38458633
3.145,-66.91769409,-21.59039879,-30.34241104
3.15,-64.15579987,-21.86034775,-35.32867432
3.155,-51.62140274,-20.73123932,-40.92762375
3.16,-38.17564011,-18.74964142,-46.85643005
3.165,-23.49368668,-16.36833572,-54.20806122
3.17,-9.887830734,-14.2151041,-63.46546173
3.175,-7.212540627,-11.50805664,-73.58460236
3.18,-12.91324234,-8.863931656,-81.52410889
3.185,-21.30008888,-6.427220821,-80.80233002
3.19,-25.71261597,-4.308596611,-57.63605881
3.195,-24.62278938,-2.686590672,-43.02253342
3.2,-20.25160217,-1.455592155,-25.18107986
3.205,-16.3312397,-0.458494663,-11.77380657
3.21,-13.65471458,0.244365692,-1.390245676
3.215,-11.00382042,0.721694469,-2.832188129
3.22,-7.218640804,0.846493244,-14.64611244
3.225,-3.407948971,0.635735989,-24.59369278
3.23,-0.858100891,0.214565754,-22.98535156
3.235,0.267848015,-0.41862011,-14.43888187
3.24,0.717323303,-1.138724804,-6.730251789
3.245,1.046247959,-1.791815758,-2.76520896
3.25,1.410778999,-2.369582653,-1.092884064
3.255,1.600547314,-2.83711195,1.656986237
3.26,1.411003113,-3.305171967,3.394687176
3.265,0.952437878,-3.733165503,4.40652895
3.27,0.402824879,-3.960287094,4.261665821
3.275,-0.228898525,-4.075792313,4.04315424
3.28,-0.813606262,-4.185164452,3.784073353
3.285,-1.41998291,-4.390795708,3.289740086
3.29,-1.942029953,-4.648106575,2.441882133
3.295,-2.560006618,-4.952827454,1.664557934
3.3,-2.726997375,-5.26677084,1.167881489
3.305,-3.261862278,-5.577997684,0.840423584
3.31,-3.534403324,-5.886638641,0.669713497
3.315,-3.790919542,-6.288542747,0.526645184
3.32,-3.949891329,-6.693115234,0.370918751
3.325,-4.015683174,-7.115252495,0.217155933
3.33,-4.001917839,-7.445811749,0.050925732
3.335,-4.151327133,-7.841544151,-0.087715626
3.34,-4.261286736,-8.146105766,-0.159378052
3.345,-4.500012875,-8.473745346,-0.194531441
3.35,-4.693606377,-8.697414398,-0.245555878
3.355,-4.888690948,-8.929571152,-0.255047798
3.36,-5.201364517,-9.065286636,-0.194383621
3.365,-5.491888523,-9.133853912,-0.159486771
3.37,-5.864718437,-9.222191811,-0.162509918
3.375,-6.096799374,-9.18063736,-0.131892204
3.38,-6.47217989,-9.175262451,-0.122954369
3.385,-6.751047611,-9.171129227,-0.233786583
3.39,-7.074155807,-9.04737854,-0.316255569
3.395,-7.376708508,-9.041724205,-0.418225288
3.4,-7.592031956,-8.99685955,-0.601948738
3.405,-7.790011406,-8.961268425,-0.805149078
3.41,-7.94748497,-8.925977707,-1.066039085
3.415,-8.110580444,-8.853164673,-1.408442974
3.42,-8.287106514,-8.85551548,-1.736558914
3.425,-8.465672493,-8.873561859,-2.09838438
3.43,-8.632435799,-8.914907455,-2.472593307
3.435,-8.742624283,-9.125570297,-2.842596054
3.44,-8.840035439,-9.386003494,-3.16791296
3.445,-8.903759003,-9.715665817,-3.34829855
3.45,-8.967862129,-10.07421017,-3.544270039
3.455,-9.008929253,-10.57905102,-3.808673382
3.46,-9.07053566,-11.21085548,-3.971927643
3.465,-9.01458931,-12.10087967,-4.161185265
3.47,-8.990095139,-12.81651688,-4.278662682
3.475,-8.964086533,-13.46511078,-4.360404491
3.48,-8.91065979,-14.07392502,-4.463914871
3.485,-8.959208488,-14.5094471,-4.601048946
3.49,-8.961447716,-14.26621819,-4.659266472
